,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank(2020),Closing Rank(2020),Opening Rank(2021),Closing Rank(2021),Opening Rank(2022),Closing Rank(2022),Opening Rank(2023),Closing Rank(2023),Opening Rank(2024),Closing Rank(2024),opening Rank(2025),closing Rank
50,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),10589,14445,4409,10787,3613,17193,5952,16727,13235,16903,11126,16845
51,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,354,354,173,199,127,127,277,277,657,657,911,907
52,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,1446,2361,1953,2389,2233,2677,2122,3288,2502,3212,2694,3194
53,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),2970,2970,4231,4577,3963,3963,2711,3237,3239,3239,3356,3239
54,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,2745,11083,2407,9250,3033,9013,4955,11211,4181,10407,4292,10607
55,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),6398,17936,5441,11337,7228,17922,4834,11241,6128,15646,5401,12638
56,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,1078,2849,1508,2414,398,2853,707,2960,1431,3994,1254,3677
57,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),3188,3600,1755,2117,2231,3921,2446,3956,4131,5393,3314,4613
58,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1717,9290,2831,9007,2082,4769,1996,5970,2480,6283,2421,6261
59,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),16777,16777,9924,9924,2000,2000,7108,7108,12636,12636,11677,11677
60,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,5830,7250,4992,7285,6196,8553,4459,9890,6330,9347,4766,9313
61,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),9800,12781,10432,12483,12238,13777,11203,14551,9179,15718,8968,15709
62,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,317,317,320,320,247,247,271,271,360,360,361,361
63,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1123,1182,912,1117,1125,1213,1382,1459,1316,1491,1322,1499
64,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),2464,2486,2095,2095,2011,2011,2686,3097,2641,2641,2651,2825
65,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,1541,2704,2389,2811,2163,2734,2353,3447,2452,3589,2550,3602
66,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),4719,6625,4185,5049,4218,5167,5369,6285,6017,6906,6003,6709
67,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,948,1517,1283,1752,809,1182,1324,1879,1461,1930,1395,1907
68,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),1915,2296,2814,2896,572,1463,2374,2390,1891,2606,2155,2533
69,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,406,645,429,809,356,414,529,677,462,787,501,734
70,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),1579,1579,660,660,1484,1484,1052,1052,1485,1485,1077,1077
71,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,18861,21202,18756,23312,20606,23148,22887,27120,24767,29003,24828,29244
72,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),27606,29045,24598,25255,26053,28820,26051,26451,27011,32695,26641,31544
73,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,4439,4746,4009,4119,3565,4664,5531,5854,6035,6149,5999,6126
74,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,14752,26314,17131,25875,17622,20908,22351,25300,17886,26095,17578,26061
75,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),26365,26365,26052,30045,25819,30751,21272,22251,21910,41167,21899,39408
76,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,5308,5451,5439,5886,5063,6190,2838,5096,4057,6375,3945,6267
77,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),6149,6149,6989,6989,6628,6628,6382,6382,8258,8258,8583,8583
78,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,13486,15976,11505,16940,16481,18786,15455,18801,14048,19125,14350,19171
79,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),21875,22244,22660,24927,24970,25118,25890,27508,27336,27558,27465,27566
80,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2708,2742,2452,2456,2674,2681,2892,2957,2978,3269,2967,3310
81,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),4076,4076,3853,3853,3987,3987,4243,4243,4372,4372,4376,4376
82,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4370,5055,4995,6179,4773,6326,5478,6558,6063,6691,6269,6772
83,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),10494,10494,10336,10727,10929,10929,10013,10134,8807,8807,8819,8644
84,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3145,3368,3035,3483,3053,3482,2908,3196,3382,3763,3070,3440
85,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,382,1264,1267,1391,972,1181,1391,1449,1282,1336,1352,1425
86,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,13659,15936,14879,17716,14827,19550,18509,21840,14933,24613,14907,25263
87,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),21958,24289,17180,24338,23368,24686,17071,23228,22573,26171,20464,26134
88,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3066,4153,2905,3231,3799,4343,3392,5170,4201,5084,3780,5109
89,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),6641,6641,5130,5130,4484,4484,5040,5040,5775,5775,5559,5559
90,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,11189,22432,8634,21666,13031,17194,14154,20255,13511,20809,13677,20778
91,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),18488,24066,17666,25285,20051,26212,17473,19352,21898,40885,21373,36587
92,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,2930,5051,4561,5316,3155,4875,3643,3755,2569,6601,2669,6237
93,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),6732,7070,4271,4395,5249,5249,4979,4979,7387,7387,6129,6148
94,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,7660,7660,19355,19355,4913,4913,9106,15430,6588,9295,7497,12845
95,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,8968,11450,8773,12749,10261,13314,12352,13853,11652,14004,11647,14102
96,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),13904,16468,16270,18981,18517,19624,19857,21061,22062,22461,23242,23060
97,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,581,581,440,440,483,483,448,448,848,848,664,664
98,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1804,1929,1724,1775,1863,1918,2024,2075,2219,2240,2336,2287
99,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),3244,3244,3560,3560,3495,3495,3467,3467,3811,3811,3902,3902
100,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,3685,4183,3890,4481,3111,4541,4044,4737,4237,5049,4199,5287
101,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),8448,9708,7807,8301,7327,8174,9489,9517,8211,8408,8484,8752
102,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2418,2815,2454,2717,1958,2368,2222,2630,2648,3099,2625,3152
103,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),4102,4118,4270,4903,3766,3874,3783,3783,3451,3451,3478,3416
104,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1276,1359,953,1206,796,835,794,1159,809,1101,819,1118
105,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,39794,51031,43065,59612,49725,63827,43780,54412,47034,59609,47218,60341
106,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),52599,56702,52265,59284,48508,61778,48952,59569,36750,63028,36854,63197
