,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank(2020),Closing Rank(2020),Opening Rank(2021),Closing Rank(2021),Opening Rank(2022),Closing Rank(2022),Opening Rank(2023),Closing Rank(2023),Opening Rank(2024),Closing Rank(2024),opening Rank(2025),closing Rank
1825,"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),26709,29926,24817,28003,26244,30677,29196,32869,31977,32365,31795,32404
1826,"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,841,841,1067,1067,1143,1143,1035,1035,922,922,856,856
1827,"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,3087,3203,2859,3167,2892,3010,3329,3640,3645,3786,3745,3783
1828,"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,3924,6711,6398,7330,5497,7664,5961,7717,6220,8773,6297,9174
1829,"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),8743,8743,13224,13224,11303,11303,9818,11724,12216,12688,12928,12987
1830,"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3659,4144,3470,4130,2894,3555,3952,4132,3015,4880,3576,4918
1831,"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),5162,5162,6028,6028,5111,5111,6478,6478,5721,5721,5795,5795
1832,"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,980,1490,1479,1479,1204,1204,1827,1847,1475,1607,1739,1734
1833,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,23483,27694,23814,27307,25716,29813,28779,32713,21936,34731,22035,34743
1834,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),30199,31822,29626,31919,28057,33689,42365,43291,41413,46556,41458,46717
1835,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,5384,5512,6161,6426,6863,6941,5485,7736,6183,7099,6225,6843
1836,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,8769,10383,8649,11163,11383,12938,10167,14090,13205,14465,12787,14585
1837,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),17410,17596,14656,15823,12847,18038,18675,18804,19072,20090,19010,19890
1838,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3491,4970,6008,7136,5668,7217,6100,6315,4594,6127,4028,6033
1839,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),4547,4547,6315,6315,8881,8881,8921,8921,7168,7168,6305,6305
1840,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1315,1568,2200,2838,1988,2066,1841,1841,1861,1861,1841,1859
1841,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,16730,22260,13399,21427,22356,25317,7929,25412,21500,26603,11825,26543
1842,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),30169,31326,30114,34041,33380,37784,36095,36790,35840,38846,35837,39058
1843,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,3695,3780,3229,3679,3603,3730,4197,4553,4418,4482,4396,4486
1844,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,7182,8245,7606,7833,6778,8436,7228,9066,8851,9918,9011,9877
1845,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),12217,12217,13702,13702,12358,14736,10919,10919,13007,13007,13257,13086
1846,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,4130,4531,3681,4549,3589,3901,4218,4736,3747,5051,3997,5015
1847,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7646,7646,6079,6079,5229,5229,7113,7113,5729,5729,6227,6227
1848,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1093,1169,1659,1659,1393,1393,1124,1150,1465,1538,1353,1391
1849,"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),2709,2709,1830,1830,2661,2661,2473,2473,3223,3223,2656,2656
1850,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,24818,24818,160377,191193,73469,73469,138087,138087,169930,169930,157516,155486
1851,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),198132,198132,139212,266835,179166,179166,192162,192162,253449,253449,235931,262016
1852,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,626,7372,4572,7770,3256,5677,2860,6348,2211,10317,2311,10577
1853,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),3452,5926,6035,6132,2985,3759,4196,4848,4610,4618,4544,4644
1854,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,30438,33064,38739,40078,31848,40715,35728,43444,41597,45085,42671,45533
1855,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),40589,40801,46492,48435,51231,53094,52091,52761,51398,53708,51238,53955
1856,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,8492,9481,10090,11795,11793,11907,12531,14086,14553,15250,15507,15680
1857,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),15959,15959,16458,16458,18116,18116,19646,19646,18540,18540,18474,18474
1858,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5380,5512,5977,6702,6143,6354,6265,6493,7032,7043,7455,7249
1859,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1464,1464,1719,1719,1527,1527,1753,1753,1816,1816,1781,1781
1860,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,61969,61969,74161,91463,30668,30668,48012,48012,31545,31545,33724,34021
1861,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),78196,78196,163702,163702,68312,68312,88563,88563,198857,198857,193233,193233
1862,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,23152,42574,9370,20366,13131,14551,5017,13149,17255,19897,9574,17528
1863,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1873,4588,3334,7079,1902,4552,1631,5597,2763,5205,2664,5212
1864,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),3346,5718,6203,6397,6203,6203,2911,2911,3918,3918,4095,3922
1865,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,9424,14051,10819,14672,11788,16124,13503,16663,11424,18562,11076,18796
1866,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),20254,20254,19008,19008,20932,20932,25776,25776,35153,35153,35788,35788
1867,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4403,5565,4685,5800,4904,5141,4638,5267,5115,6006,5109,6052
1868,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),11225,11225,7572,7572,8297,8297,11749,11749,13146,13146,12781,12781
1869,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2744,2744,2240,2240,1734,1734,2302,2302,3059,3059,3081,3081
1870,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),3958,3958,4184,4184,2830,2830,3521,3521,5288,5288,5395,5395
1871,National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,842,842,900,900,640,640,839,839,974,974,936,936
1872,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,126219,126219,102183,167053,53787,53787,53351,53351,188231,188231,174578,190533
1873,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),106549,106549,180032,180032,202130,202130,232758,232758,459245,459245,671811,671811
1874,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,42683,42683,39670,39670,16232,16232,26670,26670,27941,27941,27792,27792
1875,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,10175,14748,2362,11316,5830,11436,2335,15956,3797,13604,2759,14239
1876,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),9518,10603,9918,11699,6825,7193,7542,11572,11482,15622,11612,15735
1877,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,19435,22479,24616,28483,25343,30359,23876,31901,27569,32723,28577,33117
1878,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),35703,35703,36059,36059,37255,37255,36297,36297,36546,36546,36550,36550
1879,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,7764,8567,8018,8811,9292,9487,9183,10330,11052,11675,11147,12031
1880,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),12949,12949,13945,13945,14018,14018,13595,13595,11198,11198,10875,10875
1881,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,4533,5188,5053,5529,4450,4767,3304,4485,6164,6351,5895,6430
1882,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),2540,2540,2382,2382,2921,2921,3427,3427,3379,3379,3371,3371
1883,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,126276,158439,92090,118077,49577,52895,121773,136987,55668,102988,84998,113804
1884,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),148554,148554,153961,153961,110161,110161,220988,220988,365786,365786,412701,412701
1885,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,6789,17847,5729,16165,6419,11139,6666,13155,2172,15698,3160,15495
1886,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),15505,16260,7376,13844,11966,14379,7506,8603,8248,9068,7781,8991
1887,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,16983,20882,17081,24265,18964,23688,17879,23801,18777,26440,18759,26990
1888,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),30992,30992,26929,26929,22493,22493,34494,34494,35499,35499,35365,35365
1889,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,916,916,1445,1445,816,816,1148,1148,1184,1184,1157,1157
1890,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,6866,7203,6370,7379,6480,7282,6196,7103,7580,8181,7193,8217
1891,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),12672,12672,11145,11145,12073,12073,12859,12859,14732,14732,14415,14415
1892,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3907,3907,3875,3875,2598,2598,3321,3321,4645,4645,4647,4647
1893,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7985,7985,5109,5109,5176,5176,6179,6179,6174,6174,6176,6176
1894,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1685,1685,1508,1508,1037,1037,1520,1520,1463,1463,1482,1482
1895,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,147613,147613,168751,179284,56686,56686,121811,121811,58302,58302,75688,75411
1896,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),220355,220355,285300,285300,322201,322201,156857,156857,458027,458027,313144,313144
1897,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,40349,40349,29105,29105,20387,20387,25966,25966,39038,39038,36699,36699
1898,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2872,13350,6277,14966,6951,11919,9223,15410,11165,15182,12600,15178
1899,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),9331,12164,9539,12957,7496,7496,7039,7039,16864,16864,16622,17038
1900,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,25913,29545,28506,35059,27706,33912,37126,38138,37087,38682,37084,38784
1901,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),39960,39960,40229,40229,43313,43313,45412,45412,50816,50816,50930,50930
1902,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,8894,8894,9715,9715,11413,11519,10952,11032,12418,12614,12615,12812
1903,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),15761,15761,16465,16465,17393,17393,17810,17810,18298,18298,18612,18612
1904,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5140,5255,5602,5647,5477,5611,5868,6031,4692,6184,4627,6243
1905,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),8409,8409,9172,9172,9120,9120,8389,8389,9526,9526,9684,9684
1906,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2044,2044,2330,2330,1752,1976,2258,2424,2648,2652,2573,2601
1907,National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1103,6527,3070,6351,3230,6389,2791,6001,3299,8770,3483,8503
1908,National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),1060,3635,4218,5270,3255,4432,4435,6883,5162,5544,5112,5742
1909,National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,34135,36451,39716,42474,42768,46047,40288,46135,42970,49671,43448,50428
1910,National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),43424,44027,48795,49010,50821,56588,53607,54592,56108,58672,56660,59161
1911,National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,6086,6184,6704,6748,6869,7145,7773,7950,8158,8414,8341,8749
1912,National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,10503,10955,12732,12826,12727,14225,14699,14835,15623,15926,15915,16688
1913,National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),16554,16554,18882,18882,18900,18900,16764,16764,21724,21724,22249,22249
1914,National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,6415,6437,6930,6930,6171,6171,6703,6703,7728,7801,7871,7954
1915,National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2859,10892,5251,10555,2920,7408,1572,7387,5615,10451,5195,10385
1916,National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),11699,14319,6371,7933,4543,8447,3724,4567,6603,9459,5644,7166
1917,National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,15382,22080,16589,23101,19692,24409,17599,22998,20647,27265,20755,27418
1918,National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),29218,29218,31877,31877,33161,33161,19726,19726,19455,19455,19437,19437
1919,National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,3565,3752,3358,3678,3464,4100,3813,4041,4570,4709,4849,4555
1920,National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,5887,7228,5868,6587,7298,7386,6156,6807,7631,8541,7251,7915
1921,National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2977,3372,2145,3203,2928,3008,3438,3460,3170,3843,3296,3903
1922,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,5165,14197,6975,11084,7829,10953,6487,11536,8851,13496,9321,12937
1923,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),9063,16858,6577,8468,7347,11403,8021,11295,12883,19405,11678,15584
1924,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,26139,31603,34565,39095,36040,39812,31056,36870,38490,41843,40320,42971
1925,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),40619,40733,42176,42176,44115,45020,39342,41414,45992,50149,46088,50254
1926,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5163,5309,5987,6149,6038,6297,5823,6224,6829,6872,7164,7194
1927,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,8923,10060,10769,11657,11246,11813,11175,11525,12292,13343,12797,13821
1928,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),15821,15821,17838,17838,16864,16864,17956,17956,19285,19285,19534,19534
1929,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5846,6029,6646,6712,5835,5835,6159,6159,6221,6221,6227,6224
1930,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7841,7841,7950,7950,8717,8717,8454,8454,8548,8548,8547,8547
1931,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,7339,18667,8288,16361,8896,14880,7050,14307,10791,15864,10636,15614
1932,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),12041,12497,9065,17028,12658,17715,11932,16320,6132,13947,7770,12906
1933,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,23131,27683,24910,32918,29081,32967,25229,31705,31123,34582,31209,35226
1934,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),33639,35652,34974,38184,28252,36813,36930,38022,43057,45576,43208,46160
1935,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,4495,4567,5238,5246,4787,4900,5050,5285,5828,6180,6044,6477
1936,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,7237,8959,8359,9401,9023,9824,9519,10703,10152,12035,10675,12574
1937,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),14911,14911,13054,13054,15780,15780,16889,16889,17431,17431,17343,17343
1938,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5184,5456,4642,5014,4180,4240,4170,4769,5124,6084,4937,6006
1939,National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,16791,27100,14629,29018,13591,20748,11318,18376,17084,26659,16118,27029
1940,National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,31668,34000,35391,40236,34102,40683,37331,39295,35587,42254,35385,42895
1941,National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),40944,40944,41074,43924,46071,46086,46704,49164,48662,54484,48675,55018
1942,National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5779,5956,6089,6370,6326,6625,6486,6642,6950,7309,7307,7616
1943,National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,10257,11196,11652,11753,12253,12335,12924,13160,13655,14528,14169,14959
1944,National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5071,6295,6199,7128,6329,6388,6190,6257,7062,7294,7463,7488
1945,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,4649,20414,8564,16931,6034,15672,7208,14342,6358,18021,7207,17335
1946,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),10111,14328,18308,19063,10273,13046,7409,12360,9456,16089,9732,16658
1947,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,29553,33322,35413,37910,36334,43381,36249,41952,42067,46956,43295,47692
1948,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),42150,44314,43092,51057,54631,55145,51946,53500,56224,58646,56240,59486
1949,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5484,5658,5832,6357,6605,6755,6777,6905,7662,7902,7997,8437
1950,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,10121,10722,10313,10875,12220,12914,12285,12649,14573,14607,14658,14619
1951,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),16383,16383,18083,18083,18035,18280,18714,19608,20920,21142,21347,21553
1952,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5679,6303,6155,6404,6272,6562,6319,6690,6658,7193,6876,7458
1953,National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",HS,OPEN,Gender-Neutral,2053,3123,1605,2100,678,2013,1650,2410,2368,3956,2332,3580
1954,National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",HS,OPEN,Female-only (including Supernumerary),1097,1426,1011,1613,938,1641,1563,2078,2051,3357,2277,4296
1955,National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",HS,EWS,Gender-Neutral,292,327,219,247,279,305,198,273,573,650,315,488
1956,National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",HS,OBC-NCL,Gender-Neutral,1283,1477,811,1057,686,920,1012,1231,1914,2038,2295,2372
1957,National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",HS,OBC-NCL,Female-only (including Supernumerary),1042,1042,616,616,589,589,1038,1038,1787,1787,2230,2230
1958,National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",HS,SC,Gender-Neutral,339,423,232,502,358,545,285,484,491,673,315,568
1959,National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",HS,SC,Female-only (including Supernumerary),251,251,229,229,231,231,1048,1048,547,547,787,787
1960,National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",HS,ST,Gender-Neutral,204,837,148,535,271,355,392,1262,162,162,251,1062
1961,National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",OS,OPEN,Gender-Neutral,722,1084,763,1012,593,885,530,750,174,1106,43,993
1962,National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",OS,OPEN,Female-only (including Supernumerary),968,1014,678,850,649,868,593,660,759,842,726,722
